ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B071LGMMGV,B071LGMMGV,Arcos Professionnel - Set de 3 Couteaux de Cuisine - Acier Inoxydable NITRUM - Poignée POM Noir,862600,195,5,0.07%,0.06%,355,10,0.08%,0.09%,98.27%,100.00%,11,2,5.64%,40.00%,"550,31 €","100,40 €",11,2
B071P2B7X5,B071P2B7X5,"Arcos Couteaux d'Épluchage en Acier Inoxydable – Ensemble de 3 Couteaux avec Poignée Ergonomique en Polypropylène, Idéal pour Couper les Fruits, Légumes et Tubercules – Rouge, Série Nova",189622,781,7,0.26%,0.09%,"1,046",8,0.25%,0.07%,17.63%,33.33%,11,0,1.41%,0.00%,"110,99 €","0,00 €",11,0
B0CL6Z9J2L,B07CBLHKLN,"HENDI Bombes à gaz butane, Différentes Couleurs, 4",H199039,"3,085",194,1.03%,2.48%,"4,922",281,1.16%,2.54%,4.98%,0.00%,16,1,0.52%,0.52%,"283,01 €","14,16 €",11,1
B0DF6HR6PX,B07YYDR6D8,Arcos Jeu de Couteaux de Cuisine. 3 Pièces en Acier Inoxydable Forgé. Manche Micarta Bleu. Série Brooklyn. Couleur Bleu,858110,453,3,0.15%,0.04%,630,3,0.15%,0.03%,77.30%,100.00%,11,0,2.43%,0.00%,"1.154,89 €","0,00 €",11,0
B078JNNC71,B00YU2YTTM,CUPERINOX - Cafetière Italienne Induction 6 Tasses Inox Tous Feux,25032,343,8,0.11%,0.10%,452,10,0.11%,0.09%,97.61%,100.00%,10,0,2.92%,0.00%,"189,94 €","0,00 €",10,0
B093CRXHPY,B08BX3WTPP,Arcos Serie Maitres - Ensemble de couteaux de cuisine (Blanc),152624,131,3,0.04%,0.04%,191,3,0.04%,0.03%,98.82%,100.00%,10,0,7.63%,0.00%,"356,31 €","0,00 €",10,0
B0044R87W8,B0044R87W8,"Arcos Couteau Santoku en Acier Inoxydable Nitrum – Couteau Japonais pour Poisson, Viande et Légumes, Poignée Ergonomique en Polyoxyméthylène POM, Lame de 170 mm – Couleur Noire, Série Maitre",151600,394,4,0.13%,0.05%,464,4,0.11%,0.04%,96.36%,100.00%,9,1,2.28%,25.00%,"146,77 €","16,49 €",9,1
B09LR41V1Z,B08M3YG4R1,"Arcos Serie Maitres - Ham Knife Set Chaira, 2 Pcs, Ham Knife Set 275 mm + Taille-chaise Sharpener 230 mm, Porte-jambon professionnel (emballage écologique)",704200,216,6,0.07%,0.08%,251,6,0.06%,0.05%,99.54%,100.00%,9,0,4.17%,0.00%,"241,42 €","0,00 €",9,0
B0987KNJLQ,B0987KNJLQ,"Arcos Lot de 6 couteaux de table Filo lisse, manche monobloc, acier inoxydable, emballage écologique",814100_fba,256,4,0.09%,0.05%,386,4,0.09%,0.04%,100.00%,100.00%,9,0,3.52%,0.00%,"269,91 €","0,00 €",9,0
B005LR6FAG,B005LR6FAG,Arcos Séries Riviera - Couteau du Chef Couteau à Découper - Lame Acier Inoxydable Forgé Nitrum 200 mm - Manche Polyoxyméthylène (Pom) Couleur Noir,233600,239,4,0.08%,0.05%,319,5,0.08%,0.05%,57.53%,50.00%,8,0,3.35%,0.00%,"271,92 €","0,00 €",8,0
